user_name;text;;;;;;;;;;;;
Mazlan;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/hb5c9W;;;;;;;;;;;;
Mazlan;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/hb5c9W;;;;;;;;;;;;
Cal Vin;Andy belanja me makan tonight (@ POSLAJU National Courier) http://4sq.com/e2d7GJ;;;;;;;;;;;;
AC_Wong;Hantar jgn x hantar (@ PosLaju JB) http://4sq.com/hdL0IT;;;;;;;;;;;;
Karampal Singh;I'm at Poslaju http://4sq.com/hkWF3y;;;;;;;;;;;;
Karampal Singh;I'm at Poslaju http://4sq.com/hkWF3y;;;;;;;;;;;;
Lina Kushairi;*mata berkaca* B) (@ Pos Laju Bandar Baru Bangi) http://4sq.com/dFZNiU;;;;;;;;;;;;
A/A/A;I'm at Poslaju National Courier (Bandar Baru  Teluk Intan) http://4sq.com/ewhCgU;;;;;;;;;;;;
Siti Najihah Hussin;Kalau ade tolong pos laju dekat saya please;;;;;;;;;;;;
fyzardion;Pos laju seseorg utk ke UTHM johore.. (@ McDonald's) http://4sq.com/hDlBSM;;;;;;;;;;;;
Rex;Pos laju2.. (@ POSLAJU National Courier) http://4sq.com/hlJZfJ;;;;;;;;;;;;
Rex;Pos laju2.. (@ POSLAJU National Courier) http://4sq.com/hlJZfJ;;;;;;;;;;;;
Nurulaiemi Shah;Menemani naim pos perfume.. (@ POSLAJU National Courier) http://4sq.com/idL32R;;;;;;;;;;;;
Nek Jawa Wi;I'm at Poslaju National Courier http://4sq.com/i2Y6xL;;;;;;;;;;;;
Azly Tan;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/eQNybx;;;;;;;;;;;;
tekkaus;Just retrieved something from a bank. :) (@ Poslaju National Courier) http://4sq.com/glaTBq;;;;;;;;;;;;
tekkaus;Just retrieved something from a bank. :) (@ Poslaju National Courier) http://4sq.com/glaTBq;;;;;;;;;;;;
Jonathan Ding;I'm at Poslaju Premier 101 http://4sq.com/ff6meZ;;;;;;;;;;;;
Jonathan Ding;I'm at Poslaju Premier 101 http://4sq.com/ff6meZ;;;;;;;;;;;;
SHMNSHZ;@izaaziz88 heee terima kasih! Tgh packing hadiah sy eh? Pos laju tau  cpt skit smp :D http://myloc.me/jkwr5;;;;;;;;;;;;
Mumtaz Jihan;I'm at Poslaju Kangar (Taman Sena Indah  Kangar) http://4sq.com/faUf0t;;;;;;;;;;;;
Mumtaz Jihan;I just ousted wan saiFz as the mayor of Poslaju Kangar on @foursquare! http://4sq.com/dFXJGh;;;;;;;;;;;;
Apple Hotel;Collecting package from UK (@ POSLAJU National Courier) http://4sq.com/gZCd4X;;;;;;;;;;;;
MsJajah™;Telatt banggett pos Laju nya kak.. Hhiihiii. Si @De_vinaa udh nyidamm paraahh hIIihiiRT @azmahamirnadia: Kirimannya ... http://tmi.me/9a5jv;;;;;;;;;;;;
MsJajah™;Telatt banggett pos Laju nya kak.. Hhiihiii. Si @De_vinaa udh nyidamm paraahh hIIihiiRT @azmahamirnadia: Kirimannya ... http://tmi.me/9a5jv;;;;;;;;;;;;
N. Fadhilah Bolong;Byk perncgn esok.. paling pntng nk pi saloon  nk pi pos laju  nk hntr buku  nk pi beli brg dapur.. ~;;;;;;;;;;;;
N. Fadhilah Bolong;Byk perncgn esok.. paling pntng nk pi saloon  nk pi pos laju  nk hntr buku  nk pi beli brg dapur.. ~;;;;;;;;;;;;
Razri Abdul Razak;Ngambik barang (@ Poslaju National Courier  Miri) http://4sq.com/hKCkuh;;;;;;;;;;;;
Razri Abdul Razak;Ngambik barang (@ Poslaju National Courier  Miri) http://4sq.com/hKCkuh;;;;;;;;;;;;
Khairul Ghazali;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/jrIBRf;;;;;;;;;;;;
Khairul Ghazali;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/jrIBRf;;;;;;;;;;;;
Siti Sabri;@NormieSd body mist ready stock hantar guna poslaju. So next day delivery ;;;;;;;;;;;;
Siti Sabri;@NormieSd body mist ready stock hantar guna poslaju. So next day delivery ;;;;;;;;;;;;
Alleviate Alexander;I'm at Poslaju Kuching Selatan (Kuching) http://4sq.com/l55GVt;;;;;;;;;;;;
Alleviate Alexander;I'm at Poslaju Kuching Selatan (Kuching) http://4sq.com/l55GVt;;;;;;;;;;;;
mohammad firdaus;@Hidayahsamjr hahahahaha sabar2.tak sabar i poslaju je.djamin tahan.;;;;;;;;;;;;
mohammad firdaus;@Hidayahsamjr poslaju kan ade.haha.harini je ngidam tu.wait till hjung bln ok? haha;;;;;;;;;;;;
Sam Saw;Item sent (@ Poslaju) http://4sq.com/iwqMal;;;;;;;;;;;;
Isaac Hii;I'm at Poslaju Premier 101 http://4sq.com/iCF1SQ;;;;;;;;;;;;
Abu Attasto;I'm at POSLAJU National Courier http://4sq.com/iyVIG9;;;;;;;;;;;;
Abu Attasto;I'm at POSLAJU National Courier http://4sq.com/iyVIG9;;;;;;;;;;;;
Lucille Joyce Dayan;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/iTuqYm;;;;;;;;;;;;
Lucille Joyce Dayan;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/iTuqYm;;;;;;;;;;;;
Azinuddin Ghani;@aderila ish ko ni kan. Pos laju laaa. Jgn bg hrpn palsu kt akuu :(;;;;;;;;;;;;
Engku Zhafri;I'm at POSLAJU National Courier (Taman Desa Batu Caves  Batu Caves) http://4sq.com/lscbC0;;;;;;;;;;;;
Engku Zhafri;I'm at POSLAJU National Courier (Taman Desa Batu Caves  Batu Caves) http://4sq.com/lscbC0;;;;;;;;;;;;
-FT-;@chutiffa u paling dekat an? Kalau lah ada orang pos laju wondermilk tu kat bangi. Haha;;;;;;;;;;;;
Siti Najihah Hussin;I'm at POSLAJU National Courier  Taman Perindustrian Selaman  Bangi (Bandar Baru Bangi) http://4sq.com/mDdovv;;;;;;;;;;;;
Christine Ng;I'm at PosLaju JB (Jalan Bakti  Ungku Mohsin  Johor Bahru) http://4sq.com/lVB1Sp;;;;;;;;;;;;
shrnkmrltt;Gila laju PosLaju ni. Kalau antar ke opis  maunye 2 weeks. Means it get stalled by the company's mail sorter. Damn.;;;;;;;;;;;;
ariffin kamil;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/j5XKR3;;;;;;;;;;;;
ariffin kamil;I'm at POSLAJU National Courier (Jalan Tun Sambathan  Kuala Lumpur) http://4sq.com/j5XKR3kl;;;;;;;;;;;;
A/A/A;I'm at Poslaju National Courier (Bandar Baru  Teluk Intan) http://4sq.com/kjAaoc;;;;;;;;;;;;
Idris B Ramli 9W2iRQ;Kadang dia terlampau laju sampai terlajak tak sampai-sampai.. (@ POSLAJU National Courier) http://4sq.com/kjLHpo;;;;;;;;;;;;
Idris B Ramli 9W2iRQ;Kadang dia terlampau laju sampai terlajak tak sampai-sampai.. (@ POSLAJU National Courier) http://4sq.com/kjLHpo;;;;;;;;;;;;
zaim;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/j55Hvz;;;;;;;;;;;;
zaim;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/j55Hvz;;;;;;;;;;;;
Naddya;I'm at Poslaju Bangi http://4sq.com/jI9GmF;;;;;;;;;;;;
eFFy iSMiLe;I'm at POSLAJU National Courier (1-9 Jalan 51a/227  Petaling Jaya) http://4sq.com/kDtkvp;;;;;;;;;;;;
Omar Mokhtar;I'm at Pos Laju National Courier http://4sq.com/iUaQiD;;;;;;;;;;;;
Danial;I'm at POSLAJU National Courier (Jalan Jurunilai  Glenmarie  Shah Alam) http://4sq.com/mhYVSp;;;;;;;;;;;;
PU ssycat Doll;@anna_liyana ok dear!i dh pos laju it!i repeat pos laju it!.. :p;;;;;;;;;;;;
Umi Nazrah;pos laju kan mak ngn adik XD (@ kg padang kulim  kuala ketil) http://4sq.com/iri2Vj;;;;;;;;;;;;
Umi Nazrah;pos laju kan mak ngn adik XD (@ kg padang kulim  kuala ketil) http://4sq.com/iri2Vj;;;;;;;;;;;;
Siti Najihah Hussin;I'm at POSLAJU National Courier  Taman Perindustrian Selaman  Bangi (Bandar Baru Bangi) http://4sq.com/kg8evP;;;;;;;;;;;;
Siti Najihah Hussin;I'm at POSLAJU National Courier  Taman Perindustrian Selaman  Bangi (Bandar Baru Bangi) http://4sq.com/kg8evP;;;;;;;;;;;;
Yusmarul Ariff K;Dah RT @yosoyteyn: @yusmarulariff dah poslaju belum? http://myloc.me/kClKI;;;;;;;;;;;;
Sharmyza Ashikin;Bz ehh.. (@ Poslaju) http://4sq.com/kZIMTZ;;;;;;;;;;;;
Dennis Khaw;I'm at Poslaju Bakar Arang http://4sq.com/ihsBds;;;;;;;;;;;;
Hafiz Aziz;I'm at Poslaju National Courier (Lebuh Victoria) http://4sq.com/l2H7PH;;;;;;;;;;;;
#RedMachine;Ok  jap lg smp  by pos laju @ANYSann: @ShahrillSaehuri bak pinjam psp kejappppp. Boringggg :( http://myloc.me/kDsll;;;;;;;;;;;;
Mr5rule;Ambik bare menta (@ POSLAJU National Courier) http://4sq.com/kFrN0l;;;;;;;;;;;;
VEE;@mei_the_meow lol I pack you send through pos laju and damn bored. Can't sit still xD;;;;;;;;;;;;
VEE;@mei_the_meow lol I pack you send through pos laju and damn bored. Can't sit still xD;;;;;;;;;;;;
boe;@MoHD_AnuaR24 pos laju cukup..;;;;;;;;;;;;
Timmy Chin;@zeyrzeyr brp la? poslaju bro!;;;;;;;;;;;;
Fadzlly Abd Jalil™;@SazZy_ZaiMin byk dr UK lar. deng kalu poslaju wat camtuh aku suke gile hehe. kalu nak wat leh inform  aku ade bdak2 MyManUtd leh tlg bulk.;;;;;;;;;;;;
ariffmy;What's the difference between pos ekspress & poslaju? #posmalaysia #pening http://myloc.me/kL5Gb;;;;;;;;;;;;
